run,tag,step,value
PPO_1,rollout/ep_rew_mean,6717440,180.66839599609375
PPO_1,rollout/ep_rew_mean,6799360,178.92845153808594
PPO_1,rollout/ep_rew_mean,6881280,177.49607849121094
PPO_1,rollout/ep_rew_mean,6963200,182.8311309814453
PPO_1,rollout/ep_rew_mean,7045120,179.4315185546875
PPO_1,rollout/ep_rew_mean,7127040,177.3513946533203
PPO_1,rollout/ep_rew_mean,7208960,183.35179138183594
PPO_1,rollout/ep_rew_mean,7290880,179.71954345703125
PPO_1,rollout/ep_rew_mean,7372800,182.73593139648438
PPO_1,rollout/ep_rew_mean,7454720,184.30128479003906
PPO_1,rollout/ep_rew_mean,7536640,183.34510803222656
PPO_1,rollout/ep_rew_mean,7618560,183.4756317138672
PPO_1,rollout/ep_rew_mean,7700480,180.55162048339844
PPO_1,rollout/ep_rew_mean,7782400,185.9218292236328
PPO_1,rollout/ep_rew_mean,7864320,181.7355499267578
PPO_1,rollout/ep_rew_mean,7946240,186.25643920898438
PPO_1,rollout/ep_rew_mean,8028160,178.99737548828125
PPO_1,rollout/ep_rew_mean,8110080,182.24166870117188
PPO_1,rollout/ep_rew_mean,8192000,183.53543090820312
PPO_1,rollout/ep_rew_mean,8273920,186.30233764648438
PPO_1,rollout/ep_rew_mean,8355840,182.64378356933594
PPO_1,rollout/ep_rew_mean,8437760,178.37911987304688
PPO_1,rollout/ep_rew_mean,8519680,183.29908752441406
PPO_1,rollout/ep_rew_mean,8601600,181.22447204589844
PPO_1,rollout/ep_rew_mean,8683520,182.6040496826172
PPO_1,rollout/ep_rew_mean,8765440,176.79811096191406
PPO_1,rollout/ep_rew_mean,8847360,180.25189208984375
PPO_1,rollout/ep_rew_mean,8929280,182.26112365722656
PPO_1,rollout/ep_rew_mean,9011200,180.90289306640625
PPO_1,rollout/ep_rew_mean,9093120,181.10189819335938
PPO_1,rollout/ep_rew_mean,9175040,187.5867462158203
PPO_1,rollout/ep_rew_mean,9256960,183.1001739501953
PPO_1,rollout/ep_rew_mean,9338880,177.6201171875
PPO_1,rollout/ep_rew_mean,9420800,181.36575317382812
PPO_1,rollout/ep_rew_mean,9502720,184.79966735839844
PPO_1,rollout/ep_rew_mean,9584640,178.78778076171875
PPO_1,rollout/ep_rew_mean,9666560,183.7595977783203
PPO_1,rollout/ep_rew_mean,9748480,177.28598022460938
PPO_1,rollout/ep_rew_mean,9830400,182.1739959716797
PPO_1,rollout/ep_rew_mean,9912320,178.90467834472656
PPO_1,rollout/ep_rew_mean,9994240,176.9151153564453
PPO_1,rollout/ep_rew_mean,10076160,182.59095764160156
